BirdID,Level,SlideNum,SlideID,ROI,Condition,SongID,Area,Mean,StdDev,Min,Max,Median,Skew,Kurt,WholeMed
4439,medial,1A,i2j1.tif,vncm,Go,143,131438.987,226.981,14.488,33,254,228,-0.196,-44.731,229
4439,medial,1A,i2j1.tif,cncm,Go,143,131510.764,230.248,11.505,63,255,231,-7.866,159.862,229
4439,medial,1A,i2j1.tif,l,Go,143,254633.543,228.15,12.15,76,255,229,0.618,-38.369,229
4439,medial,1A,i2j1.tif,whole,Go,143,18792607.881,227.586,14.924,13,255,229,-6.052,80.137,229
310,medial,1A,i1j2.tif,cmm,Go,61,131507.464,186.14,32.858,32,251,196,-2.036,3.761,207
310,medial,1A,i1j2.tif,dncm,Go,62,131281.408,195.161,29.07,32,247,203,-2.503,4.967,207
310,medial,1A,i1j2.tif,vncm,Go,63,131438.987,198.24,25.21,35,251,203,-2.174,3.08,207
310,medial,1A,i1j2.tif,cncm,Go,64,131510.764,190.897,34.774,27,245,202,-2.406,5.19,207
310,medial,1A,i1j2.tif,l,Go,65,254650.868,201.988,20.853,32,252,205,-1.692,-6.04,207
310,medial,1A,i1j2.tif,whole,Go,66,8043657.452,200.336,26.229,24,253,207,-2.839,8.294,207
308,medial,3A,i1j2,cmm,Go,11,131507.464,179.171,34.338,26,224,192,-2.083,4.139,201
308,medial,3A,i1j2,dncm,Go,11,131281.408,191.834,26.662,31,224,201,-2.963,9.299,201
308,medial,3A,i1j2,vncm,Go,11,131438.987,192.476,24.343,33,229,199,-2.966,9.098,201
308,medial,3A,i1j2,cncm,Go,11,131510.764,190.812,29.776,29,223,201,-2.805,7.914,201
308,medial,3A,i1j2,l,Go,11,254650.868,200.021,12.53,35,242,202,3.522,-178.24,201
308,medial,3A,i1j2,whole,Go,11,17847490.646,194.1,26.153,24,250,201,-2.639,6.586,201
4620,medial,2A,i1j2.tif,cmm,Go,14,131507.464,210.611,23.274,30,248,217,-3.446,11.541,219
